data,gasolina,indice geral,cesta,gasolina_ajustada,ipca_ajustado
2005-01-01,0.39,0.51,150.56,1.0039,1.0051
2005-02-01,-0.86,0.49,150.97,0.99526646,1.01002499
2005-03-01,0.98,0.87,157.47,1.005020071308,1.018812207413
2005-04-01,1.41,1.25,167.75,1.0191908543134427,1.0315473600056624
2005-05-01,-1.68,0.6,180.36,1.0020684479609767,1.0377366441656963
2005-06-01,-2.46,-0.1,168.07,0.9774175641411368,1.0366989075215307
2005-07-01,-1.45,0.17,164.87,0.9632450094610904,1.0384612956643173
2005-08-01,1.85,0.6,159.83,0.9810650421361206,1.0446920634383032
2005-09-01,0.88,0.28,154.97,0.9896984145069183,1.0476172012159304
2005-10-01,7.17,0.32,157.58,1.0606597908270645,1.0509695762598215
2005-11-01,1.78,0.48,172.27,1.0795395351037864,1.0560142302258686
2005-12-01,-0.44,0.36,176.88,1.0747895611493299,1.0598158814546819
2006-01-01,2.59,1.48,169.0,1.1026266107830975,1.075501156500211
2006-02-01,1.0,0.55,162.75,1.1136528768909286,1.0814164128609622
2006-03-01,2.75,0.64,164.98,1.1442783310054292,1.0883374779032724
2006-04-01,-0.06,0.51,170.22,1.1435917640068258,1.0938879990405792
2006-06-01,-1.37,0.15,159.97,1.1279245568399323,1.0955288310391402
2006-07-01,0.27,0.23,156.75,1.1309699531434,1.0980485473505301
2006-08-01,-0.1,0.18,160.24,1.1298389831902567,1.1000250347357612
2006-09-01,0.13,0.21,161.17,1.131307773868404,1.1023350873087063
2006-10-01,-1.24,0.24,172.27,1.117279557472436,1.1049806915182472
2006-11-01,-0.58,0.35,179.25,1.1107993360390958,1.108848123938561
2006-12-01,0.68,0.3,171.49,1.1183527715241615,1.1121746683103766
2007-01-01,-0.14,0.75,176.24,1.1167870776440276,1.1205159783227046
2007-02-01,-1.65,0.55,185.37,1.0983600908629012,1.1266788162034795
2007-03-01,4.41,0.55,190.11,1.1467977708699553,1.1328755496925988
2007-04-01,0.69,0.28,175.92,1.1547106754889578,1.136047601231738
2007-05-01,-0.5,0.4,167.5,1.148937122111513,1.140591791636665
2007-06-01,-0.98,0.32,165.82,1.13767753831482,1.1442416853699025
2007-07-01,-2.17,0.51,162.37,1.1129899357333883,1.150077317965289
2007-08-01,-0.01,0.64,175.59,1.112878636739815,1.157437812800267
2007-09-01,-1.28,0.03,180.57,1.0986337901895453,1.1577850441441069
2007-10-01,-1.73,0.26,186.77,1.0796274256192662,1.1607952852588814
2007-11-01,2.36,0.51,194.05,1.105106632863881,1.166715341213702
2007-12-01,2.17,0.91,204.8,1.1290874467970273,1.1773324508187468
2008-01-01,-0.31,0.87,216.78,1.1255872757119565,1.18757524314087
2008-02-01,-0.88,0.57,206.42,1.1156821076856913,1.194344422026773
2008-03-01,1.09,0.54,213.48,1.1278430426594652,1.2007938819057176
2008-04-01,-1.27,-0.05,228.32,1.1135194360176899,1.2001934849647649
2008-05-01,-0.47,0.76,230.55,1.1082858946684067,1.2093149554504972
2008-06-01,-0.88,0.75,236.03,1.0985329787953246,1.218384817616376
2008-07-01,-0.19,0.4,247.01,1.0964457661356135,1.2232583568868416
2008-08-01,0.57,0.28,231.26,1.1026955070025866,1.2266834802861246
2008-09-01,0.19,0.17,220.97,1.1047906284658915,1.228768842202611
